City,2009_Population,2009_Violent_crime,2009_Murder_and_nonnegligent_manslaughter,2009_Rape,2009_Robbery,2009_Aggravated_assault,2009_Property_crime,2009_Burglary,2009_Larceny_theft,2009_Motor_vehicle_theft,2009_Arson
Adams,1734,5,0,0,1,4,89,18,66,5,1
Albany,1108,7,0,0,1,6,25,3,21,1,0
Algoma,3091,4,0,3,1,0,87,2,83,2,0
Altoona,6759,6,1,2,0,3,107,17,82,8,0
Amery,2770,5,0,0,0,5,53,8,43,2,0
Antigo,7849,14,0,0,1,13,471,57,405,9,0
Appleton,70294,165,1,21,18,125,1884,327,1521,36,9
Arcadia,2312,2,0,0,1,1,40,11,28,1,0
Ashland,8066,29,0,4,2,23,479,73,389,17,4
Ashwaubenon,17197,21,0,9,1,11,577,60,502,15,1
Athens,1029,1,0,0,0,1,9,0,9,0,0
Avoca,563,2,0,0,0,2,14,9,4,1,0
Bangor,1405,0,0,0,0,0,16,3,13,0,0
Baraboo,11302,39,0,0,1,38,498,46,440,12,0
Barron,3104,5,0,4,0,1,41,7,28,6,0
Bayfield,566,0,0,0,0,0,26,3,22,1,0
Beaver Dam,15116,3,0,0,0,3,553,74,477,2,0
Belleville,2306,5,0,1,0,4,25,2,21,2,0
Beloit,36197,171,5,13,57,96,1389,279,1040,70,3
Beloit Town,7555,12,0,1,5,6,174,40,123,11,0
Berlin,4965,4,0,0,0,4,175,20,155,0,0
Big Bend,1334,1,0,0,0,1,37,7,28,2,0
Black River Falls,3382,2,0,0,0,2,148,33,111,4,0
Blair,1243,1,0,0,0,1,24,4,17,3,0
Bloomer,3294,3,0,1,0,2,78,8,69,1,0
Bloomfield,5087,11,0,1,1,9,104,24,77,3,1
Brillion,2857,2,0,0,0,2,23,2,20,1,0
Brodhead,3118,2,0,0,0,2,80,1,75,4,0
Brookfield,39049,29,0,0,9,20,1261,93,1145,23,2
Brown Deer,11671,32,0,1,4,27,434,34,388,12,0
Burlington,11030,6,0,1,5,0,314,23,282,9,0
Burlington Town,6671,2,0,0,1,1,47,12,34,1,0
Butler,1759,9,0,1,3,5,43,9,25,9,0
Caledonia,24291,43,0,0,7,36,350,115,220,15,1
Campbellsport,1943,0,0,0,0,0,21,6,14,1,0
Campbell Township,4551,12,0,2,0,10,75,15,58,2,0
Cashton,1060,0,0,0,0,0,0,0,0,0,0
Cedarburg,11092,1,0,0,1,0,133,5,128,0,1
Chenequa,591,0,0,0,0,0,4,0,4,0,0
Chetek,2135,2,0,0,0,2,33,3,29,1,0
Chilton,3563,3,0,1,0,2,74,4,65,5,0
Chippewa Falls,12897,24,0,0,2,22,309,56,236,17,6
Cleveland,1408,0,0,0,0,0,10,1,9,0,0
Clinton,3298,3,0,0,1,2,34,2,32,0,0
Clintonville,4235,2,0,0,0,2,245,14,226,5,0
Colby-Abbotsford,3540,3,0,0,1,2,70,9,59,2,0
Columbus,5162,12,0,0,0,12,102,8,94,0,0
Combined Locks,3348,1,0,0,0,1,20,3,17,0,0
Coon Valley,747,0,0,0,0,0,4,3,1,0,0
Cornell,1377,0,0,0,0,0,24,7,17,0,0
Cottage Grove,6445,9,0,0,2,7,206,25,175,6,0
Crandon,1801,2,0,1,0,1,50,15,34,1,0
Cross Plains,3603,1,0,0,0,1,77,2,74,1,0
Cuba City,2035,1,0,0,0,1,27,1,26,0,0
Cudahy,18856,68,0,3,8,57,671,124,502,45,3
Cumberland,2231,0,0,0,0,0,21,2,19,0,0
